Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-254-09,(CRN #: 27625),Japan/US Comparative Legal Study,1,"Goodman, Carl F.",MTWRF,6:00-8:35,TK
LAWJ-249-07,(CRN #: 10410),Jewish Law Seminar,3,"Cohn, Sherman / 
Fishman, Lyle / 
Lazar-Price, Daphne / 
Marciano, Simon",W,5:45-7:45,WR
LAWJ-1473-05,(CRN #: 33512),Judicial Review and the Administrative State,3,"Bernick, Evan D.",T,9:00-11:00,WR
LAWJ-1106-08,(CRN #: 23943),Judicial Review of Military Justice Proceedings: Current Issues and Constitutional Perspectives,1,"Effron, Andrew S.",MTWR,6:00-9:20,Paper
LAWJ-1334-08,(CRN #: 29454),Justice and Accountability for International Atrocity Crimes: Bridging Theory and Practice Seminar,3,"Stromseth, Jane",R,1:20-3:20,WR
LAWJ-532-06,(CRN #: 10540),Juvenile Justice Clinic,5,"Henning, Kristin / 
Ferrer, Eduardo",T,1:20-3:20,SR
LAWJ-262-05,(CRN #: 31210),Labor Arbitration Seminar,3,"Oldham, James",W,11:10-1:10,WR
LAWJ-264-05,(CRN #: 10415),"Labor Law: Union Organization, Collective Bargaining, and Unfair Labor Practices",3,"Silberman, Laurence",TR,1:55-3:20,TK
LAWJ-272-08,(CRN #: 33499),Land Use Law,3,"Byrne, John P.",TR,1:55-3:20,TK
LAWJ-289-08,(CRN #: 33494),Law and Literature Seminar,3,"West, Robin L.",R,10:00-12:00,WR
LAWJ-2010-09,(CRN #: 25749),Law and Regulation of Global Health Technologies,2,"Bollyky, Thomas",F,11:10-1:10,SR
LAWJ-1470-08,(CRN #: 33497),Law and Rhetoric Seminar,3,"Tiscione, Kristen K.",W,11:10-1:10,WR
LAWJ-135-05,(CRN #: 17675),Law Firm Economics and the Public Interest: Advancing the Commitment to Pro Bono Publico through Law Firms and Other Legal Institutions,1,"Dewey, Elizabeth / 
Schulman, Steven",MTWR,6:00-9:20,Paper
LAWJ-1296-08,(CRN #: 29446),Law of Religion,3,"Lederman, Martin",MW,1:55-3:20,TK
LAWJ-552-05,(CRN #: 10569),Law Students in Court,7,,M,6:00-8:00,SR
LAWJ-915-09,(CRN #: 19656),"Law, Healthy Lifestyles, and Business Regulation",1,"Magnusson, Roger S.",MTWRF,9:00-11:35,Paper
LAWJ-297-06,(CRN #: 10426),Lawmaking and Statutory Interpretation Seminar,2,"Norton, Eleanor H.",M,3:30-5:30,WR
LAWJ-360-05,(CRN #: 31306),Legal Research Skills for Practice,1,"Concepcion, Cattleya M. / 
Lang, Andrew W.",W,1:20-3:20,TK
LAWJ-536-11,(CRN #: 29460),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Cedrone, Michael J.",R,9:00-11:00,WR
LAWJ-536-13,(CRN #: 29468),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Carroll, Erin",R,11:10-1:10,WR
LAWJ-536-14,(CRN #: 29470),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Donahoe, Diana R.",T,3:30-5:30,WR
LAWJ-536-15,(CRN #: 29474),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"DeLaurentis, Frances C.",W,11:10-1:10,WR
LAWJ-536-17,(CRN #: 29473),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Shulman, Jeffrey I.",M,5:45-7:45,WR
LAWJ-536-22,(CRN #: 29464),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Wherry, Jessica",T,11:10-1:10,WR
LAWJ-536-23,(CRN #: 29469),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"McMahon, Susan A.",R,11:10-1:10,WR
LAWJ-536-24,(CRN #: 29472),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Sirota, Rima",R,3:30-5:30,WR
LAWJ-536-25,(CRN #: 29475),Legal Writing Seminar: Theory and Practice for Law Fellows,3,"Reich, Jarrod",M,11:10-1:10,WR
LAWJ-304-05,(CRN #: 33457),Legislation,3,"Nourse, Victoria",MW,9:35-11:00,TK
LAWJ-2012-09,(CRN #: 29381),Litigation of Individual Income Tax Issues Workshop,2,"Panuthos, Peter J. / Leyden, Diana L.",W,11:10-1:10,SR
LAWJ-322-05,(CRN #: 10777),Mediation Seminar,3,"Costantino, Cathy A.",F,1:15-5:30,SU
LAWJ-275-08,(CRN #: 29501),"Medical Judgment, Morals, and Law Seminar (formerly Advanced Health Law Seminar: The Hippocratic Myth)",3,"Bloche, Gregg",W,11:10-1:10,WR
LAWJ-1145-05,(CRN #: 27083),Mergers and Acquisitions in Practice: Advising the Board of Directors,1,"Saunders, Paul / Zoubek, Damien",F,4:00-7:00,S
LAWJ-1145-08,(CRN #: 29518),Mergers and Acquisitions in Practice: Advising the Board of Directors,1,"Stebbins, Ann Beth",WR,7:55-9:55,S
LAWJ-1145-09,(CRN #: 32997),Mergers and Acquisitions in Practice: Advising the Board of Directors,1,"Stebbins, Ann Beth",F,4:00-7:30,S
LAWJ-1317-05,(CRN #: 28822),"Military, Veterans and Society (PROJECT-BASED PRACTICUM)",4,"Carter, Phillip E.",M,11:10-1:10,F
LAWJ-1179-05,(CRN #: 33416),"Modern Litigation, Private Enforcement and the Rule of Law Seminar",2,"Glover, Maria",M,3:30-5:30,Paper
LAWJ-922-08,(CRN #: 10674),National Security & the Law of the Sea,2,"Oliver, John T. / Hipfel, Steven J.",W,5:45-7:45,5/3C
LAWJ-1031-08,(CRN #: 31265),National Security Crisis Law I (formerly National Security Crisis Law),5,"Donohue, Laura / 
Cohn, Alan D.",MWF,9:00-11:00,Paper&SR
LAWJ-849-08,(CRN #: 10639),National Security Investigations and Litigation,2,"Wainstein, Kenneth L. / Demers, John C.",F,3:30-7:30,T
LAWJ-972-09,(CRN #: 23839),National Security Law,2,"Moore, John N.",F,5:45-7:45,5/7C
LAWJ-967-08,(CRN #: 21795),National Security Law & the Private Sector,1,"Plotkin, Mark",R,3:30-5:30,TK
LAWJ-1151-05,(CRN #: 25867),National Security Lawyering Seminar,3,"DeRosa, Mary B.",M,3:30-5:30,WR
LAWJ-1151-08,(CRN #: 25854),National Security Lawyering Seminar,2,"DeRosa, Mary B.",M,3:30-5:30,Paper
LAWJ-329-08,(CRN #: 33501),Natural Resources Law,3,"Byrne, John P.",MW,9:35-11:00,TK
LAWJ-1300-05,(CRN #: 27696),Negotiating a Mergers and Acquisitions Transaction,2,"Sanders, David S.",M,11:10-1:10,SR
LAWJ-1482-09,(CRN #: 33446),Negotiations and Mediation Seminar,3,"Rozdeiczer, Lukasz / Berger, Eric",FSU,9:00-4:30,Paper
LAWJ-317-03,(CRN #: 19680),Negotiations Seminar,3,"Batson, David / Sellers, Sandra",FSU,9:00-4:30,Paper&SR
LAWJ-317-05,(CRN #: 17358),Negotiations Seminar,3,"Kleinman, Kondi J.",FSU,9:00-6:00,Paper&SR
LAWJ-317-07,(CRN #: 10434),Negotiations Seminar,3,"Altman, Stephen D.",W,5:45-8:50,Paper&SR
LAWJ-317-17,(CRN #: 25776),Negotiations Seminar,3,"Blank, Michael A.",FSU,9:30-5:00,Paper&SR
LAWJ-317-97,(CRN #: 23897),Negotiations Seminar,3,"Linkins, Julie R.",F,1:15-5:45,SU
LAWJ-626-05,(CRN #: 31204),New Deal Legal History Seminar,3,"Ernst, Daniel R.",R,10:00-12:00,WR
LAWJ-326-05,(CRN #: 10868),Non-Profit Organizations Seminar,2,"Conry, Kevin T. / 
Goodman, Randolph M.",M,3:30-5:30,Paper
LAWJ-755-08,(CRN #: 10617),Nuclear Non-Proliferation Law & Policy: Is Cold War Deterrence Making a Comeback?,2,"Jonas, David S.",M,5:45-7:45,TK
LAWJ-2099-09,(CRN #: 30570),Nutrition Law and Policy,2,"Fleischhacker, Sheila E.",M,7:55-9:55,SR
LAWJ-1429-05,(CRN #: 31394),Patent Appeals at the Federal Circuit,3,"Gajarsa, Arthur J. / 
Gajarsa, Robert J. / 
Prost, Sharon",T,5:45-7:45,WR
LAWJ-333-07,(CRN #: 27632),Patent Licensing Seminar,2,"Messinger, Michael V.",R,5:45-7:45,TK&SR
LAWJ-387-07,(CRN #: 31292),Patent Prosecution Practice,2,"Feldstein, Mark J.  /  Murphy, Amanda K.  /  Tridico, Anthony C.",M,5:45-7:45,Paper&SR
LAWJ-334-05,(CRN #: 23950),Patent Trial Practice,3,"Altherr, Robert F. / 
Potenza, Joseph M. / 
Roth, Christopher B. / 
Meeker, Frederic M.",T,2:30-5:30,SR
LAWJ-1360-05,(CRN #: 29555),"Policing in the 21st Century: Law Enforcement, Technology and Surveillance",2,"Sethi, Arjun S.",T,5:45-7:45,Paper
LAWJ-508-16,(CRN #: 10525),Policy Clinic (Harrison Institute for Public Law),6,"Stumberg, Robert K.",T,3:30-5:00,
LAWJ-408-06,(CRN #: 31227),Poverty Law and Policy (FIELDWORK PRACTICUM),4,"Edelman, Peter B.",M,3:30-5:30,Paper
LAWJ-358-05,(CRN #: 10454),Presentation Skills For Lawyers Seminar,2,"Wolvin, Andrew D.",T,5:45-7:45,SR
LAWJ-1493-05,(CRN #: 33524),Prison Law and Policy,3,"Hopwood, Shon",MW,9:35-11:00,TK
LAWJ-1315-05,(CRN #: 28798),Privacy Legislation: Law and Technology (PROJECT-BASED PRACTICUM),5,"Vladeck, David C.  /  Bedoya, Alvaro M.",R,3:30-5:30,SR
LAWJ-361-03,(CRN #: 23814),Professional Responsibility,2,"Rosenthal, Michael L. / 
Kelner, Robert K.",R,10:05-12:05,5/2B
LAWJ-361-07,(CRN #: 29445),Professional Responsibility,2,"Carlson, M. Jesse / 
Duval, Catherine S.",M,5:45-7:45,5/8C
LAWJ-361-97,(CRN #: 33518),Professional Responsibility,2,"Kaiser, Matthew G. / 
Richardson, Amy E.",W,5:45-7:45,TK
LAWJ-361-02,(CRN #: 10458),Professional Responsibility and the Future of the Legal Profession,2,"Rezneck, Daniel A.",W,9:00-11:00,5/3A
LAWJ-007-97,(CRN #: 29451),Property,4,"Munshi, Sherally K.",WF,5:45-7:45,TK
LAWJ-1244-05,(CRN #: 26929),Prosecuting Sexual Violence: Applying Research to Practice (FIELDWORK PRACTICUM),4,"Long, Jennifer G. /  Whitman-Barr, Charlene",F,9:00-11:00,SR
LAWJ-995-09,(CRN #: 20017),Public Health and International Investment Law,1,"McGrady, Benn D. / Jacinto, Justin M.",S,10:00-5:30,TK
LAWJ-364-08,(CRN #: 25723),Public Health Law and Ethics,3,"Diamond, Nicholas J.",T,5:45-8:50,TK
LAWJ-586-05,(CRN #: 10780),Race and American Law,4,"Cashin, Sheryll D.",TR,10:00-12:00,TK
