Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-025-05,(CRN #: 17223),Administrative Law,3,"Cashin, Sheryll D.",TR,3:30-4:55,TK
LAWJ-448-08,(CRN #: 27692),Advanced Antitrust Economics and Law Seminar,3,"Shelanski, Howard / 
Popofsky, Mark S.",R,3:30-5:30,WR
LAWJ-046-09,(CRN #: 31214),Advanced Constitutional Law Seminar,2,"Barnett, Randy",T,3:30-5:30,Paper
LAWJ-1265-05,(CRN #: 27558),Advanced Constitutional Law Seminar: The Framing and Ratification of the Constitution,3,"Treanor, William / 
Mikhail, John",M,3:30-5:30,WR
LAWJ-1387-08,(CRN #: 31203),"Advanced Constitutional Law: The Constitution, Democracy, and the Economy",2,"Shanor, Amanda",R,10:00-12:00,Paper
LAWJ-032-05,(CRN #: 33523),Advanced Criminal Procedure and Litigation,2,"Lowell, Abbe",M,3:30-5:30,5/9A
LAWJ-168-07,(CRN #: 10373),Advanced Evidence: Supreme Court and the Constitution Seminar,3,"Rothstein, Paul F.",W,5:45-7:45,WR
LAWJ-2073-09,(CRN #: 27564),Advanced International Commercial Arbitration,3,"Whitesell, Anne Marie",T,9:00-11:00,R
LAWJ-483-08,(CRN #: 23858),Advanced Issues in International Human Rights Seminar,2,"Cerna, Christina M.",T,11:10-1:10,Paper
LAWJ-301-07,(CRN #: 27590),Advanced Legal Research,2,"Stoddard, Morgan",T,5:45-7:45,TK
LAWJ-036-05,(CRN #: 31224),Advanced Legal Writing and Practice for Judicial Clerks and Civil Litigators,2,"Hickman, Johanna M.",M,5:45-7:45,Paper
LAWJ-036-08,(CRN #: 31270),Advanced Legal Writing: Legal Writing as a Discipline,2,"Butler, Charles J.",W,11:10-1:10,Paper
LAWJ-1449-05,(CRN #: 33412),Advanced Oral Advocacy,2,"Goldblatt, Steven H.",W,1:20-3:20,SR
LAWJ-381-05,(CRN #: 29424),Advanced Studies in Federal Securities Regulation: Policy and Practice,3,"Olson, John F.",T,3:30-5:30,WR
LAWJ-381-08,(CRN #: 29425),Advanced Studies in Federal Securities Regulation: Policy and Practice,2,"Olson, John F.",T,3:30-5:30,Paper
LAWJ-1406-05,(CRN #: 31328),Advanced Topics in Corporate Law: Unincorporated Business Entities,1,"Parsons, Donald F.",MTWR,6:00-9:20,TK
LAWJ-127-08,(CRN #: 31364),Advocacy Tools for Public Interest Lawyers,2,"Bissell, Mary K. / Rosenbaum, Jessica T.",M,5:45-7:45,SR
LAWJ-508-06,(CRN #: 10524),Affordable Housing Transactions Clinic (Harrison Institute) (formerly the Harrison Institute for Public Law: Housing and Development Clinic),7,"Diamond, Michael",F,9:00-12:30,SR
LAWJ-038-97,(CRN #: 33450),Antitrust Law,3,"Shelanski, Howard",M,5:45-8:50,5/1C
LAWJ-1396-07,(CRN #: 31290),Antitrust Law Seminar: Case Development and Litigation Strategy,2,"Collins, Dale",T,5:45-7:45,Paper
LAWJ-049-05,(CRN #: 31302),Appellate Courts and Advocacy Workshop,2,"Wolfman, Brian",T,9:00-11:00,Paper
LAWJ-049-09,(CRN #: 33066),Appellate Courts and Advocacy Workshop,3,"Wolfman, Brian",T,9:00-11:00,WR
LAWJ-504-05,(CRN #: 31300),Appellate Courts Immersion Clinic,12,"Wolfman, Brian",WR,9:00-11:00,SR
LAWJ-504-06,(CRN #: 10521),Appellate Litigation Clinic,5,"Hashimoto, Erica J.",W,1:20-3:20,SR
LAWJ-044-05,(CRN #: 19621),Appellate Practice Seminar,3,"Leider, Robert / Blatt, Lisa S.",T,3:30-5:30,WR
LAWJ-537-05,(CRN #: 10924),Applied Legal Composition,2,"DeLaurentis, Frances C.",M,11:10-12:05,WR
LAWJ-537-06,(CRN #: 10925),Applied Legal Composition,1,"DeLaurentis, Frances C.",M,11:10-12:05,SR
LAWJ-3051-09,(CRN #: 33520),Arbitration in Latin America,1,"Zuleta, Eduardo",SU,9:00-4:30,TK
LAWJ-1329-08,(CRN #: 33452),"Art Law Seminar: Images, Objects, and Culture",3,"Bonneau, Sonya",R,1:20-3:20,WR
LAWJ-1316-05,(CRN #: 28820),Bankruptcy Advocacy (PROJECT-BASED PRACTICUM),4,"Kuney, David R.",R,11:10-1:10,SR
LAWJ-054-07,(CRN #: 27679),Bankruptcy and Creditors' Rights,3,"Ellenberg, Mark C. / 
Friedman, Peter M.",M,5:45-7:45,R
LAWJ-2086-08,(CRN #: 27670),Basic Accounting for Lawyers,2,"Bethard, James G., Jr.",M,5:45-7:45,TK
LAWJ-104-05,(CRN #: 33491),Behavioral Law and Economics Seminar,3,"Galle, Brian D.",R,1:20-3:20,WR
LAWJ-1175-05,(CRN #: 29488),Borders and Banishment Seminar,3,"McLeod, Allegra",R,1:20-3:20,WR
LAWJ-1175-08,(CRN #: 27616),Borders and Banishment Seminar,2,"McLeod, Allegra",R,1:20-3:20,Paper
LAWJ-1372-05,(CRN #: 30493),Business Essentials: A Mini-MBA for Lawyers,3,"Hills, Stephen P.",TR,9:35-11:00,5/3B&SR
LAWJ-1372-09,(CRN #: 30494),Business Essentials: A Mini-MBA for Lawyers,3,"Hills, Stephen P.",TR,1:55-3:20,5/3B&SR
LAWJ-500-06,(CRN #: 10517),Center for Applied Legal Studies,10,"Schrag, Philip G.",W,1:30-3:15,F
LAWJ-286-05,(CRN #: 10422),Church-State Law Seminar,3,"Chopko, Mark / 
Hollman, K. Hollyn",W,9:00-11:00,WR
LAWJ-286-09,(CRN #: 10775),Church-State Law Seminar,2,"Chopko, Mark / 
Hollman, K. Hollyn",W,9:00-11:00,Paper
LAWJ-531-05,(CRN #: 33455),Civic Engagement and Economic Development Seminar (formerly Social Entrepreneurship & Economic Development Law Seminar),3,"Cook, Anthony E.",T,1:20-3:20,WR
LAWJ-060-01,(CRN #: 10326),Civil Litigation Practice,2,"Bird, Coleman /  Russell-Hunter, Peregrine",W,8:30-10:30,SR
LAWJ-060-07,(CRN #: 27605),Civil Litigation Practice,2,"McGraw, Esther C. /  Rock, Jimmy",R,5:45-7:45,SR
LAWJ-1216-05,(CRN #: 33413),Civil Litigation Practice: From the Complaint to the Courthouse Steps,3,"Carlson, M. Jesse /  Kossak, Amy /  Stott-Bumsted, Hannah M.",R,5:45-8:50,SR
LAWJ-062-05,(CRN #: 29390),Civil Rights,3,"Abernathy, Charles F.",MW,11:10-12:35,5/9A
LAWJ-1322-05,(CRN #: 29405),Civil Rights Statutes and the Supreme Court Seminar,2,"Gornstein, Irving L.",M,3:30-5:30,Paper
LAWJ-379-08,(CRN #: 31232),Commercial Law: Sales and Leases,2,"Levitin, Adam J.",R,1:20-3:20,5/4B
LAWJ-071-05,(CRN #: 33445),Commercial Law: Secured Transactions,3,"Fleming, Anne",T,5:45-7:45,R
LAWJ-073-07,(CRN #: 10333),Communications Law and Policy,3,"Schneider, Mark D.",W,5:45-8:50,TK
LAWJ-627-05,(CRN #: 19623),Community Justice Project: Health Justice Alliance,10,"Cannon, Yael Z.",TR,11:10-1:10,SR
LAWJ-828-09,(CRN #: 23885),Comparative Corporate Governance,1,"Magnier, Veronique",MTWRF,1:30-4:05,TK
LAWJ-079-08,(CRN #: 31260),Comparative Law: Focus on EU and US,2,"Werro, Franz",MW,11:10-1:10,F
LAWJ-2030-09,(CRN #: 23882),"Comparative Reproductive Technologies and ""Reproductive Tourism""",2,"Crockin, Susan",T,11:10-1:10,Paper
LAWJ-2030-11,(CRN #: 29476),"Comparative Reproductive Technologies and ""Reproductive Tourism""",3,"Crockin, Susan",T,11:10-1:10,WR
LAWJ-1098-05,(CRN #: 33415),Complex Litigation,4,"Glover, Maria",MW,11:10-1:10,5/2A
LAWJ-1384-05,(CRN #: 31340),Computer Programming for Lawyers: An Introduction,3,"Ohm, Paul / 
deLevie, Alan",T,3:30-5:30,R
LAWJ-1384-06,(CRN #: 31344),Computer Programming for Lawyers: An Introduction,3,"Ohm, Paul / 
deLevie, Alan",T,3:30-5:30,R
LAWJ-1384-07,(CRN #: 31346),Computer Programming for Lawyers: An Introduction,3,"Ohm, Paul / 
deLevie, Alan",T,3:30-5:30,R
LAWJ-1384-08,(CRN #: 30816),Computer Programming for Lawyers: An Introduction,3,"Ohm, Paul / 
deLevie, Alan",T,3:30-5:30,R
LAWJ-1384-09,(CRN #: 31342),Computer Programming for Lawyers: An Introduction,3,"Ohm, Paul / 
deLevie, Alan",T,3:30-5:30,R
LAWJ-363-05,(CRN #: 10461),Conflict Management Systems Design Seminar,3,"Costantino, Cathy A.",F,1:15-5:30,SU
LAWJ-309-08,(CRN #: 10431),Congressional Investigations Seminar,2,"Podesta, John D. / 
Leon, Richard",M,5:45-7:45,Paper
LAWJ-1121-05,(CRN #: 31256),Congressional Procedure and Statutory Interpretation Seminar,3,"Nourse, Victoria",W,1:20-3:20,WR
LAWJ-1121-09,(CRN #: 33456),Congressional Procedure and Statutory Interpretation Seminar,2,"Nourse, Victoria",W,1:20-3:20,Paper
LAWJ-215-01,(CRN #: 29490),Constitutional Law II: Individual Rights and Liberties,4,"Edelman, Peter B.",MW,11:10-1:10,5/10B
LAWJ-215-05,(CRN #: 25756),Constitutional Law II: Individual Rights and Liberties,4,"Spann, Girardeau A.",MW,9:00-11:00,5/3A
LAWJ-215-07,(CRN #: 10395),Constitutional Law II: Individual Rights and Liberties,4,"Shulman, Jeffrey I.",TR,5:45-7:45,Paper&TK
LAWJ-215-09,(CRN #: 17360),Constitutional Law II: Individual Rights and Liberties,4,"Seidman, Louis M.",TR,1:20-3:20,5/2B
LAWJ-017-05,(CRN #: 31382),Constitutional Rights and Their Limitations: Proportionality,1,"Barak, Aharon",MTWRF,1:30-4:05,Paper
LAWJ-622-08,(CRN #: 31230),Consumer Finance,3,"Levitin, Adam J.",TR,10:35-12:00,5/4B
LAWJ-110-05,(CRN #: 33441),Copyright Law,3,"Cohen, Julie E.",TR,9:35-11:00,TK
LAWJ-110-97,(CRN #: 29477),Copyright Law,3,"Burger, James M.",S,9:30-12:35,TK
LAWJ-114-08,(CRN #: 27608),Corporate Finance: Quantitative Analysis and Valuation,2,"Sukhatme, Neel",M,3:30-5:30,5/2A
LAWJ-848-11,(CRN #: 10638),Corporate Income Tax Law I,2,"Poulsen, Ross E. / Levine, Scott M.",R,5:45-7:45,5/2C
LAWJ-1267-05,(CRN #: 31239),Corporate Legal Department Practicum (FIELDWORK PRACTICUM),4,"Cohen, Barry E.",M,11:10-1:10,SR
LAWJ-422-05,(CRN #: 10492),Corporate Taxation (formerly Taxation II),4,"Galle, Brian D.",MW,1:20-3:20,5/3B
LAWJ-121-05,(CRN #: 10353),Corporations,4,"Stevenson, Russell B.",MW,11:10-1:10,5/2A
LAWJ-121-09,(CRN #: 10784),Corporations,4,"Diamond, Michael",MW,9:00-11:00,5/3A
LAWJ-118-05,(CRN #: 27647),Counseling the Corporation in Crisis,2,"Villa, John K. / Fox, Hamilton P",M,3:30-5:30,SR
LAWJ-512-05,(CRN #: 19593),Criminal Defense and Prisoner Advocacy Clinic,7,"Smith, Abbe / 
Johnson, Vida B.",TR,3:30-5:30,
LAWJ-512-06,(CRN #: 10531),Criminal Justice Clinic,7,"Copacino, John / 
Johnson, Vida B.",TR,3:30-5:30,
LAWJ-126-05,(CRN #: 21821),Criminal Law,3,"Tague, Peter W.",T,9:00-11:00,R
LAWJ-128-08,(CRN #: 31371),Criminal Procedure,2,"McLeese, Roy",T,3:30-5:30,TK
LAWJ-2038-09,(CRN #: 33422),Current Issues in Tax Policy,2,"Talisman, Jonathan",M,1:20-3:20,SR
LAWJ-1409-05,(CRN #: 31334),"Cyber Threats and Technological Insecurity: Emerging Legal, Policy, and Operational Challenges",2,"Cooper, Aaron R. / 
Dantiki, Sumon S.",R,5:45-7:45,Paper
LAWJ-134-05,(CRN #: 10361),Decedents' Estates,4,"O'Brien, Raymond C.",TR,9:00-11:00,5/4B
LAWJ-969-08,(CRN #: 10693),Derivatives Market Regulation Under Dodd-Frank (formerly Energy Trading and Market Regulation II),2,"Higgins, Mark D. / Berkovitz, Dan M.",R,7:55-9:55,Paper
LAWJ-847-09,(CRN #: 30569),Developing & Financing Infrastructure Projects,3,"Cohen, Arthur",R,7:55-9:55,5/2C&SR
LAWJ-847-10,(CRN #: 31289),Developing & Financing Infrastructure Projects,3,"Khosharay, Maryam",W,7:55-9:55,5/2C&SR
LAWJ-131-05,(CRN #: 33414),Disability Discrimination Law,3,"Nichol, Allison",T,6:00-9:00,TK
LAWJ-518-06,(CRN #: 10535),Domestic Violence Clinic,10,"Epstein, Deborah / 
Camp, Rachel",TR,1:20-3:20,SR
LAWJ-160-05,(CRN #: 10366),"Drafting and Negotiating Commercial Real Estate Documents: Contracts, Loan Documents, and Leases Seminar",3,"Bregman, Douglas M.",W,8:30-11:30,SR
LAWJ-919-11,(CRN #: 10672),Drafting Partnership & LLC Agreements,1,"O'Connor, Brian J. / Schneider, Steven",T,3:30-5:30,3/31D
LAWJ-139-08,(CRN #: 33449),Economic Reasoning and the Law Seminar,2,"Salop, Steven C.",T,1:20-3:20,Paper
LAWJ-195-08,(CRN #: 31257),"Election Law: Voting, Campaigning and the Law",3,"Smith, Paul M.",MW,1:55-3:20,TK
LAWJ-219-07,(CRN #: 10399),Emerging Growth Companies and Their Venture Capital Financing Seminar: Principles and Practice,2,"Krisko, Ken / 
Velli, Aaron J.",R,5:45-7:45,TK
LAWJ-3011-11,(CRN #: 29450),Employee Benefits Practicum,4,"Eickelberg, Henry C. / Paliga, John R. / Serron, Eric",MW,5:45-7:45,SR
LAWJ-263-05,(CRN #: 10414),Employment Law,3,"Herrnstadt, Owen",WF,5:45-8:50,5/7C
LAWJ-263-09,(CRN #: 33460),Employment Law,3,"Williams, Jamillah B.",MW,11:10-12:35,TK
LAWJ-1290-05,(CRN #: 27636),Energy and Environment Seminar: Hydraulic Fracturing,2,"Sussman, Robert M.",W,9:00-11:00,Paper
LAWJ-1472-05,(CRN #: 33508),Energy Law and Policy,2,"Zyla, Kathryn A.",W,5:45-7:45,Paper
LAWJ-1347-05,(CRN #: 33514),Energy Regulation: A Practical Approach (formerly Economic Regulation of Energy),2,"Gerarden, Ted P. / Kroeger, John",T,11:10-1:10,Paper
LAWJ-1067-05,(CRN #: 31211),English Legal History Seminar: Foundations of American Law,3,"Oldham, James",T,1:20-3:20,WR
LAWJ-137-05,(CRN #: 10363),Entertainment Law,3,"Schneider, Jeffrey D.",T,5:45-8:50,TK
LAWJ-656-08,(CRN #: 17650),Entrepreneurship and the Law: Evaluating Client Business Plans and Growth Strategies,2,"Sherman, Andrew J.",T,1:20-3:20,SR
LAWJ-1277-08,(CRN #: 27709),Environmental Dispute Resolution Seminar,3,"Colangelo, Sara A.",M,1:20-3:20,WR
LAWJ-146-07,(CRN #: 31336),Environmental Law,3,"Rumsey, Allison B. / 
Shenkman, Ethan G.",M,5:45-8:50,TK
LAWJ-754-09,(CRN #: 25798),Epidemiology for Lawyers,1,"Phelan, Alexandra L. / Katz, Rebecca L.",MTWRF,1:30-4:05,SR
LAWJ-3009-09,(CRN #: 29396),Ethics in International Arbitration,1,"Kantor, Mark",SU,2:00-5:15,SR
LAWJ-462-08,(CRN #: 21929),EU Law: Selected Topics in ECJ Jurisprudence,1,"Werro, Franz",MTWR,9:00-12:20,TK
LAWJ-487-08,(CRN #: 27601),EU Tax Law,1,"Rust, Alexander",MTWRF,9:00-11:35,TK
LAWJ-165-05,(CRN #: 10372),Evidence,4,"Rothstein, Paul F.",TR,3:30-5:30,5/9A
LAWJ-165-07,(CRN #: 11796),Evidence,3,"Gunja, Mushtaq",MW,5:45-7:10,TK
LAWJ-165-09,(CRN #: 19659),Evidence,4,"Super, David",TR,1:20-3:20,TK
LAWJ-1491-05,(CRN #: 33461),Externship I Seminar (J.D. Externship Program),4,TBA,M,5:45-7:45,SR
LAWJ-1491-08,(CRN #: 33462),Externship I Seminar (J.D. Externship Program),4,TBA,M,5:45-7:45,SR
LAWJ-1491-10,(CRN #: 33464),Externship I Seminar (J.D. Externship Program),4,TBA,T,5:45-7:45,SR
LAWJ-1491-12,(CRN #: 33465),Externship I Seminar (J.D. Externship Program),4,TBA,T,7:55-9:55,SR
LAWJ-1491-14,(CRN #: 33466),Externship I Seminar (J.D. Externship Program),4,TBA,W,5:45-7:45,SR
LAWJ-1491-15,(CRN #: 33467),Externship I Seminar (J.D. Externship Program),4,TBA,W,7:55-9:55,SR
LAWJ-1492-10,(CRN #: 33468),Externship II Seminar (J.D. Externship Program),4,TBA,M,5:45-7:45,SR
LAWJ-1492-12,(CRN #: 33469),Externship II Seminar (J.D. Externship Program),4,TBA,M,7:55-9:55,SR
LAWJ-1492-14,(CRN #: 33470),Externship II Seminar (J.D. Externship Program),4,TBA,T,5:45-7:45,SR
LAWJ-1492-17,(CRN #: 33472),Externship II Seminar (J.D. Externship Program),4,TBA,W,5:45-7:45,SR
LAWJ-1492-18,(CRN #: 33473),Externship II Seminar (J.D. Externship Program),4,TBA,W,7:55-9:55,SR
LAWJ-173-05,(CRN #: 29496),Family Law I: Marriage and Divorce,3,"Mihalik, Theresa M. / 
Smollar, Paul R.",T,5:45-7:45,R
LAWJ-178-05,(CRN #: 10378),Federal Courts and the Federal System,3,"Vladeck, David C.",MW,9:35-11:00,5/3B
LAWJ-421-05,(CRN #: 19663),Federal Income Taxation (formerly Taxation I),4,"Faulhaber, Lilian",MW,1:20-3:20,5/9A
LAWJ-530-05,(CRN #: 10539),Federal Legislation Clinic,10,"Appelbaum, Judith",MTR,1:20-3:20,SR
LAWJ-722-05,(CRN #: 10612),Federal Limitations on State and Local Taxation,3,"Tatarowicz, Philip M. / Capino, Richard A.",W,5:45-7:45,WR
LAWJ-722-08,(CRN #: 10613),Federal Limitations on State and Local Taxation,2,"Tatarowicz, Philip M. / Capino, Richard A.",W,5:45-7:45,Paper
LAWJ-722-11,(CRN #: 23925),Federal Limitations on State and Local Taxation,2,"Tatarowicz, Philip M. / Capino, Richard A.",W,5:45-7:45,TK
LAWJ-1166-05,(CRN #: 25665),Federal Litigation Practice: Litigating Challenges to Federal Agency Decisions,3,"Firestone, Nancy  /  Jones, Sheila",T,5:45-8:50,Paper&SR
LAWJ-193-09,(CRN #: 33424),Federal Regulation of Financial Institutions,2,"Millstein, James",M,3:30-5:30,TK&SR
LAWJ-455-07,(CRN #: 33504),Federal White Collar Crime,3,"Hardy, William J. / 
Lynam, Terence J. / 
MacDougall, Mark J.",T,5:45-8:50,TK
LAWJ-175-07,(CRN #: 33432),Federalism Seminar,3,"Klein, Alisa B. / 
Stern, Mark B.",W,5:45-7:45,WR
LAWJ-2040-10,(CRN #: 27552),Financial Derivatives Taxation,2,"Bedell, Dennis P.",M,5:45-7:45,TK
LAWJ-769-09,(CRN #: 17666),Financial Products in a New Regulatory Environment,2,"Ambler, Diane E.",R,5:45-7:45,Paper
LAWJ-804-08,(CRN #: 10629),Financial Reporting and Accounting,2,"Estabrook, David / Khinda, Philip S.",M,1:20-3:20,5/2A
LAWJ-1208-08,(CRN #: 31207),Food Law Seminar,3,"Heinzerling, Lisa",T,10:00-12:00,WR
LAWJ-2065-09,(CRN #: 25875),Gender and U.S. Foreign Policy,2,"Vogelstein, Rachel B. / Klein, Jennifer L.",F,1:20-3:20,Paper
LAWJ-1298-08,(CRN #: 27685),Global Anti-Corruption Seminar,2,"Luskin, Robert D. / 
Kahn, Daniel S.",R,3:30-5:30,Paper
LAWJ-3034-09,(CRN #: 31272),Global Derivatives Law and Regulatory Policy,2,"Scopino, Gregory A.",T,5:45-7:45,Paper
LAWJ-3028-09,(CRN #: 33429),Global Drug Law and Regulation,2,"Mehta, Rikin S. / Paxton, Mark S.",F,3:30-5:30,Paper
LAWJ-594-08,(CRN #: 31228),"Global Health Law: An Intensive, Problem-Based Exploration",2,"Gostin, Lawrence / 
Stoto, Michael A.",S,9:00-5:30,U
LAWJ-662-05,(CRN #: 19668),Global Law Scholars Seminar II: Applying an International Skill Set,1,"Stewart, David / 
DeRosa, Mary B.",W,3:30-5:30,SR
LAWJ-1434-05,(CRN #: 32455),Governing Automated Decisions,2,"Robinson, David G.",M,9:00-11:00,Paper
LAWJ-202-07,(CRN #: 10389),Government Contracts,2,"Vacketta, Carl L.",R,5:45-7:45,5/2C
LAWJ-1432-09,(CRN #: 32345),Government Lawyering (Fieldwork Practicum),9,"Swinton, Nathan M.",R,6:00-9:00,SR
LAWJ-1028-08,(CRN #: 23836),Health Care Fraud and Abuse Seminar,2,"Levy, Joshua A. / 
Ogrosky, Kirk",W,5:45-7:45,Paper
LAWJ-845-08,(CRN #: 10636),"Hedge Funds, Private Equity Funds and Other Private Funds",2,"Barbash, Barry / Silk, James G.",T,5:45-7:45,5/7C
LAWJ-311-05,(CRN #: 31311),Higher Education and the Law Seminar,3,"Lawrence, Frederick M.",M,5:45-7:45,WR
LAWJ-311-08,(CRN #: 31312),Higher Education and the Law Seminar,2,"Lawrence, Frederick M.",M,5:45-7:45,Paper
LAWJ-216-05,(CRN #: 29517),Historic Preservation Seminar,3,"Boasberg, Tersh",M,3:30-5:30,WR
LAWJ-216-09,(CRN #: 29530),Historic Preservation Seminar,2,"Boasberg, Tersh",M,3:30-5:30,Paper
LAWJ-2020-11,(CRN #: 22062),Human Rights and the Inter-American System,2,"Baeyens, Angelita K. / Banfi, Analia",M,5:45-7:45,Paper
LAWJ-370-07,(CRN #: 31303),Human Rights at the Intersection of Trade and Corporate Responsibility,2,"Roggensack, Margaret E. / 
Altschuller, Sarah A. / 
Biel, Eric R.",T,5:45-7:45,Paper
LAWJ-034-08,(CRN #: 27678),Human Rights Fact-Finding (PROJECT-BASED PRACTICUM),3,"Gomez-Lugo, Fanny",M,1:20-3:20,SR
LAWJ-3014-09,(CRN #: 29435),ICSID Arbitration: Jurisdiction and Procedural Aspects,2,"Torres, Luisa F. / Rosenberg, Ella J.",W,9:00-11:00,5/10B
LAWJ-037-08,(CRN #: 17306),Immigration Law and Policy,3,"Schoenholtz, Andrew",TR,11:10-12:35,TK
LAWJ-939-08,(CRN #: 10686),Immunity Under International Law,1,"Gresser, James A.",R,7:55-9:55,3/31D
LAWJ-2044-09,(CRN #: 24017),Implementation of Financial Market Reform Legislation,2,"Buffa, JonMarc P.",M,11:10-1:10,TK
LAWJ-342-07,(CRN #: 10446),Information Privacy Law,2,"Rotenberg, Marc S. / 
Butler, Alan",W,5:45-7:45,TK
LAWJ-1032-08,(CRN #: 33483),In-House Counsel: Law and Practice,2,"Stevenson, Russell B. / 
Krebs, Frederick J.",T,1:20-3:20,Paper
LAWJ-773-09,(CRN #: 19148),Initial Public Offerings,2,"Reedich, Michael J.",W,5:45-7:45,5/9C
LAWJ-528-09,(CRN #: 27562),Institute for Public Representation Civil Rights Law Clinic,12,"Francois, Aderson B.",T,10:00-12:00,W
LAWJ-528-05,(CRN #: 27561),Institute for Public Representation Communications and Technology Clinic,12,"Campbell, Angela J.",TW,9:00-11:00,SR
LAWJ-528-06,(CRN #: 10538),Institute for Public Representation Environmental Law Clinic,12,"Babcock, Hope M.",TW,9:00-11:00,SR
LAWJ-1471-05,(CRN #: 33507),Intellectual Property for Start-ups,1,"Getty, Justus L. / 
Rawat, Manita",MTWR,6:00-9:20,TK
